spot,strike,maturity,rate,sigma,bs_price,mc_price,mc_stderr,nn_price
100.0,70.0,1.0,0.05,0.2,33.54009835541592,33.56119316144659,0.022065761990343616,33.59678655862808
100.0,72.5,1.0,0.05,0.2,31.239742956905246,31.264441893636175,0.023215461587407806,31.227338388562202
100.0,75.0,1.0,0.05,0.2,28.974370522243134,28.99903716181398,0.024906975194164106,29.099998623132706
100.0,77.5,1.0,0.05,0.2,26.753848014451435,26.78832454305339,0.027406415325177534,26.667153984308243
100.0,80.0,1.0,0.05,0.2,24.58883544392775,24.565426728697005,0.028776555674219908,24.395227432250977
100.0,82.5,1.0,0.05,0.2,22.490351417244042,22.50237157600661,0.03169221226632092,22.36263357102871
100.0,85.0,1.0,0.05,0.2,20.469287921382403,20.42895820628031,0.03399997978926377,20.520368218421936
100.0,87.5,1.0,0.05,0.2,18.535919304213564,18.502098397064895,0.036482738209846,18.435670249164104
100.0,90.0,1.0,0.05,0.2,16.699448408416004,16.7133259392005,0.03929973119131857,16.648538410663605
100.0,92.5,1.0,0.05,0.2,14.967625505466877,14.933161028341043,0.04118778766803124,15.131658650934696
100.0,95.0,1.0,0.05,0.2,13.346464945879582,13.315871813948577,0.04317907594429126,13.377617970108986
100.0,97.5,1.0,0.05,0.2,11.840072352804306,11.827424081796165,0.04503397181170865,11.834284253418446
100.0,100.0,1.0,0.05,0.2,10.450583572185565,10.469955779649037,0.04661407505644158,10.566531866788864
100.0,102.5,1.0,0.05,0.2,9.178206811154745,9.162583560805516,0.047189970727503694,9.058693554252386
100.0,105.0,1.0,0.05,0.2,8.021352235143176,8.015348288081482,0.04670885308436083,7.792431302368641
100.0,107.5,1.0,0.05,0.2,6.976829003783671,7.060611875039038,0.04645176884703589,6.746918968856335
100.0,110.0,1.0,0.05,0.2,6.040088129724239,5.996556693658307,0.04434351292635458,5.878947153687477
100.0,112.5,1.0,0.05,0.2,5.20549018419252,5.252424186507269,0.042624921815632225,5.212110048159957
100.0,115.0,1.0,0.05,0.2,4.466579149434949,4.4246691765125385,0.04087673212824163,4.557145349681377
100.0,117.5,1.0,0.05,0.2,3.8163470094905705,3.857687613817527,0.03871147983769707,3.713652463629842
100.0,120.0,1.0,0.05,0.2,3.2474774165608125,3.2053073213714485,0.03548023013364681,3.0517076700925827
100.0,122.5,1.0,0.05,0.2,2.7525605191155655,2.761349375721185,0.03351734466053683,2.529156026430428
100.0,125.0,1.0,0.05,0.2,2.324274466015229,2.34883015494983,0.031680364326375915,2.111792331561446
100.0,127.5,1.0,0.05,0.2,1.9555320084883832,1.9862896748028627,0.029289579310883752,1.7704488546587527
100.0,130.0,1.0,0.05,0.2,1.6395929155861175,1.635573342348754,0.02693170850650469,1.4950705878436565
